,0
"('Roof Matl', 'WdShngl')",44960.87456361565
"('Sale Type', 'Con')",34057.05540675278
"('Mas Vnr Type', 'Stone')",26908.736799634324
"('Functional', 'Typ')",25762.12354744986
"('MS Zoning', 'RH')",24019.857028846694
"('Neighborhood', 'StoneBr')",23598.61316303213
"('Condition 1', 'PosN')",22475.386806775758
"('Mas Vnr Type', 'None')",21421.954707307497
"('Sale Type', 'CWD')",20348.735389381338
"('Condition 2', 'PosA')",19219.926886620287
"('MS Zoning', 'FV')",19171.470528450038
"('Sale Type', 'New')",18860.71282743591
"('Functional', 'Min2')",18795.132053597954
"('Functional', 'Min1')",17255.53944180495
"('Mas Vnr Type', 'BrkFace')",16655.572853817586
"('Sale Type', 'ConLD')",16417.74909562034
"('Foundation', 'Wood')",15042.701050744405
"('Functional', 'Maj2')",14631.451519196238
"('Sale Type', 'Oth')",13707.290816864299
"('Bsmt Exposure', 'Gd')",11514.173622011956
"('Exterior 1st', 'AsphShn')",11481.916861990634
"('Exterior 1st', 'BrkFace')",11419.034168485061
"('Roof Style', 'Mansard')",11251.61112682297
"('Condition 1', 'Norm')",9914.669597317528
"('Condition 1', 'PosA')",9725.211764218304
"('Land Contour', 'HLS')",9219.821897124883
"('Exterior 1st', 'CemntBd')",8863.101549140614
"('MS Zoning', 'RL')",8654.237500384677
"('Exterior 2nd', 'VinylSd')",7526.743659737429
Overall Qual,7187.349917560298
"('Lot Config', 'CulDSac')",6972.823926592365
"('Street', 'Pave')",6613.512647935907
"('Exterior 2nd', 'AsphShn')",6478.490345110574
"('Foundation', 'PConc')",6406.100612795456
Overall Cond,6197.889187924736
"('Foundation', 'Stone')",6156.709869687758
"('MS Zoning', 'RM')",6066.539894719767
"('Electrical', 'FuseP')",6056.564912873218
"('Condition 1', 'RRAn')",5910.881169301198
"('Sale Type', 'WD ')",5898.793298770648
"('Roof Style', 'Hip')",5785.428626136446
"('House Style', '2.5Fin')",5553.748624411236
"('Roof Style', 'Gable')",4216.977134170625
"('Condition 1', 'Feedr')",4086.0858445135127
"('Foundation', 'CBlock')",4069.4710876379795
"('Paved Drive', 'Y')",3905.603532964127
"('Exterior 1st', 'MetalSd')",3450.218589861984
"('Exterior 2nd', 'Brk Cmn')",3296.5781239489534
Half Bath,3257.1109188505593
"('Land Contour', 'Lvl')",3202.9670799423293
"('Exterior 2nd', 'Stucco')",3055.3527974211834
"('House Style', '1Story')",2882.755959575854
"('BsmtFin Type 1', 'Unf')",2850.9662891618814
"('BsmtFin Type 1', 'GLQ')",2567.7090357284396
"('Lot Config', 'Inside')",2329.1992913734807
Baths,2233.5932025758334
Yr Sold,1928.5846302111145
Bsmt Full Bath,1702.5303200112073
"('Heating QC', 'Gd')",1577.5528240013427
TotRms AbvGrd,1507.1095378006416
"('Sale Type', 'ConLw')",1463.1862430523013
"('Condition 1', 'RRNe')",1390.8054536725626
"('Neighborhood', 'NridgHt')",1290.8600922901512
Fireplaces,1115.4028666582678
"('BsmtFin Type 1', 'BLQ')",1068.453925903895
Baths^2,1028.132089828142
"('House Style', '1.5Unf')",756.8850796765754
"('Functional', 'Mod')",600.6804873311618
Bedroom AbvGr Overall Qual,388.8945679305969
Full Bath,364.25329581982425
Year Built,328.4794153183062
"('Lot Config', 'FR2')",272.88837999309186
Bedroom AbvGr^2,214.68852339907505
"('Exterior 2nd', 'Wd Sdng')",186.06188293590597
"('Bsmt Cond', 'TA')",119.92422701104383
Year Remod/Add,82.94512129236438
Overall Qual^2,80.55206561773602
"('Lot Shape', 'IR2')",72.5619657832101
Lot Frontage,63.19579040857117
Screen Porch,60.19861932876995
Pool Area,30.848441026987985
Mas Vnr Area,30.73877135161024
HouseSF,21.749659816579708
Enclosed Porch,19.67678136165916
Gr Liv Area,18.621124745783618
2nd Flr SF,15.410141725958056
BsmtFin SF 1,12.19619884738745
1st Flr SF,11.688354579280258
MS SubClass,11.542080294864865
Open Porch SF,10.502198438180358
Id,3.6614902132313296
Total Bsmt SF,2.587325036511629
Misc Val,1.767373426643644
HouseSF Baths,1.190711856505004
Wood Deck SF,1.0143112394225682
Lot Area,0.8247463046280856
Garage Area,0.5446267657376893
HouseSF Overall Qual,0.17210066509403532
PID,1.0835395513809557e-05
"('Exter Cond', 'Po')",2.939486876130104e-09
